Designator,Mid X,Mid Y,Rotation,Layer
C1,139.68,-116.88,0.0,top
C2,123.11,-142.38,0.0,top
C3,123.25,-102.54,0.0,top
J1,141.350001,-105.309999,90.0,top
J2,154.6,-117.58,0.0,top
J3,154.6,-142.52,0.0,top
J4,141.39,-154.65,270.0,top
J5,105.4,-129.999999,180.0,top
U1,120.0,-150.0,0.0,top
U2,120.0,-110.0,0.0,top
U3,136.01,-129.4,0.0,top
