Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100 nF,
J1,PinHeader_2x06_P2.54mm_Vertical,1,to_analog_mux,
J3,PinHeader_2x06_P2.54mm_Vertical,1,to_knobs,
"RV1, RV2, RV3, RV4, RV5, RV6, RV7",Potentiometer_RV09,7,R_Potentiometer,
U1,SOP-24_7.5x15.4mm_P1.27mm,1,74HC4067PW,
