Designator,Mid X,Mid Y,Rotation,Layer
C1,76.52,53.52,180.0,bottom
J1,69.650001,7.73,270.0,bottom
J3,69.650001,34.03,270.0,bottom
RV1,9.899999,33.389999,270.0,top
RV2,29.899999,33.389999,270.0,top
RV3,49.899999,33.389999,270.0,top
RV4,9.899999,13.389999,270.0,top
RV5,29.899999,13.389999,270.0,top
RV6,49.899999,13.389999,270.0,top
RV7,69.899999,23.389999,270.0,top
U1,70.015,46.35,0.0,bottom
