Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_2x04_P2.54mm_Vertical,1,to_button_matrix_A,
J2,PinHeader_2x04_P2.54mm_Vertical,1,to_button_matrix_B,
J3,PinHeader_1x05_P2.54mm_Vertical,1,encoder_and_onoffbutton,
"SW1, SW2, SW3, SW4, SW5",SW_PUSH_6mm,5,SW_Push,
