Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_2x08_P2.54mm_Horizontal,1,Conn_02x08_Odd_Even,
"RV1, RV10, RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9",Potentiometer_RV09,10,R_Potentiometer,
