Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_2x05_P2.54mm_Horizontal,1,Conn_02x05_Odd_Even,
"RV1, RV2, RV3, RV4",Potentiometer_RV09,4,R_Potentiometer,
